2022-07-31 17:28:37.677927 Epoch 1, Train loss 3.0389, Val loss 2.9695
2022-07-31 17:41:49.833634 Epoch 2, Train loss 2.8863, Val loss 2.8479
2022-07-31 17:55:19.000219 Epoch 3, Train loss 2.7432, Val loss 2.6817
2022-07-31 18:08:27.778672 Epoch 4, Train loss 2.6359, Val loss 2.57
2022-07-31 18:21:36.014322 Epoch 5, Train loss 2.5604, Val loss 2.5052
2022-07-31 18:34:44.920131 Epoch 6, Train loss 2.4514, Val loss 2.3935
2022-07-31 18:47:53.784139 Epoch 7, Train loss 2.3512, Val loss 2.3101
2022-07-31 19:01:01.864665 Epoch 8, Train loss 2.2843, Val loss 2.253
2022-07-31 19:14:01.615532 Epoch 9, Train loss 2.2237, Val loss 2.2089
2022-07-31 19:27:10.730074 Epoch 10, Train loss 2.1376, Val loss 2.1404
2022-07-31 19:40:20.068639 Epoch 11, Train loss 2.0915, Val loss 2.0496
2022-07-31 19:53:31.311360 Epoch 12, Train loss 2.0415, Val loss 2.0093
2022-07-31 20:06:42.472262 Epoch 13, Train loss 1.98, Val loss 1.9618
2022-07-31 20:19:52.493459 Epoch 14, Train loss 1.9254, Val loss 1.8553
2022-07-31 20:33:02.448400 Epoch 15, Train loss 1.7578, Val loss 1.6759
2022-07-31 20:46:19.132706 Epoch 16, Train loss 1.6291, Val loss 1.5474
2022-07-31 21:05:20.711794 Epoch 17, Train loss nan, Val loss nan
2022-07-31 21:35:27.273142 Epoch 17, Train loss 1.4146, Val loss 1.2736
2022-07-31 21:49:03.293366 Epoch 18, Train loss 1.2144, Val loss 1.1043
2022-07-31 22:03:00.043623 Epoch 19, Train loss 1.0873, Val loss 0.9499
2022-07-31 22:17:23.353563 Epoch 20, Train loss 0.9933, Val loss 0.9341
2022-07-31 22:31:51.609344 Epoch 21, Train loss 0.9037, Val loss 0.7758
2022-07-31 22:45:53.316803 Epoch 22, Train loss 0.8236, Val loss 0.8831
2022-07-31 23:00:11.349779 Epoch 23, Train loss 0.8208, Val loss 0.6972
2022-07-31 23:13:52.146745 Epoch 24, Train loss 0.7166, Val loss 0.6284
2022-07-31 23:27:15.524215 Epoch 25, Train loss 0.6473, Val loss 0.5987
2022-07-31 23:40:43.970326 Epoch 26, Train loss 0.6378, Val loss 0.5358
2022-07-31 23:54:13.290332 Epoch 27, Train loss 0.5088, Val loss 0.4509
2022-08-01 00:08:22.074310 Epoch 28, Train loss 0.4452, Val loss 0.3898
2022-08-01 00:23:15.057918 Epoch 29, Train loss 0.3879, Val loss 0.3541
2022-08-01 00:53:24.071422 Epoch 29, Train loss 0.3925, Val loss 0.3474
2022-08-01 01:07:25.597636 Epoch 30, Train loss 0.3374, Val loss 0.3083
2022-08-01 01:21:35.025844 Epoch 31, Train loss 0.3174, Val loss 0.4017
2022-08-01 01:35:40.522358 Epoch 32, Train loss 0.2904, Val loss 0.2738
2022-08-01 01:49:48.206306 Epoch 33, Train loss 0.2668, Val loss 0.2435
2022-08-01 02:03:53.094728 Epoch 34, Train loss 0.2505, Val loss 0.2269
2022-08-01 02:18:00.435070 Epoch 35, Train loss 0.248, Val loss 0.2467
2022-08-01 02:32:19.345740 Epoch 36, Train loss 0.235, Val loss 0.2154
2022-08-01 02:46:42.568640 Epoch 37, Train loss 0.2183, Val loss 0.2454
2022-08-01 03:00:43.880211 Epoch 38, Train loss 0.217, Val loss 0.1859
2022-08-01 03:15:09.601958 Epoch 39, Train loss 0.216, Val loss 0.2157
2022-08-01 03:29:10.731332 Epoch 40, Train loss 0.1907, Val loss 0.1866
